frame.time,ip.src,ip.dst,eth.src,eth.dst,tcp.port,udp.port,_ws.col.Info,data.text
"Nov 17, 2024 15:23:36.542615000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"[TCP Dup ACK 83#1] 51749 → 80 [ACK] Seq=1 Ack=35001 Win=514 Len=0 SLE=36401 SRE=37801",
"Nov 17, 2024 15:23:36.562488000 IST","172.20.10.4","172.20.10.2","c0:35:32:26:48:bb","3c:95:09:f2:ef:17","51480,4444",,"51480 → 4444 [ACK] Seq=1 Ack=113 Win=2052 Len=0",
"Nov 17, 2024 15:23:36.580208000 IST","172.20.10.4","172.20.10.2","c0:35:32:26:48:bb","3c:95:09:f2:ef:17","51480,4444",,"51480 → 4444 [PSH, ACK] Seq=1 Ack=113 Win=2052 Len=368",
"Nov 17, 2024 15:23:36.598713000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=113 Ack=369 Win=14182 Len=0",
"Nov 17, 2024 15:23:36.759937000 IST","151.101.38.172","172.20.10.4","aa:ab:b5:01:10:64","c0:35:32:26:48:bb","80,51749",,"[TCP Retransmission] 80 → 51749 [ACK] Seq=35001 Ack=1 Win=280 Len=1400",
"Nov 17, 2024 15:23:36.760007000 IST","172.20.10.4","151.101.38.172","c0:35:32:26:48:bb","aa:ab:b5:01:10:64","51749,80",,"51749 → 80 [ACK] Seq=1 Ack=37801 Win=514 Len=0",
"Nov 17, 2024 15:23:36.834023000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=113 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.834023000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=1573 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.834023000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=3033 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.834023000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [PSH, ACK] Seq=4493 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.834023000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=5953 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.834023000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=7413 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.834139000 IST","172.20.10.4","172.20.10.2","c0:35:32:26:48:bb","3c:95:09:f2:ef:17","51480,4444",,"51480 → 4444 [ACK] Seq=369 Ack=8873 Win=2053 Len=0",
